Row ID,Industry,Company,Name,Project Type,Project_Status,Technology,Key Tech,Key Values,Location,Region,Year,More
1.0,ACDP,KPF,One Vanderbilt,BUILDING,Completed,Building Information Modeling,Analytics & Visualization,Decision Making,USA,North America,2020,
1.0,ACDP,KPF,One Vanderbilt,BUILDING,Completed,Generative Design,Analytics & Visualization,Decision Making,USA,North America,2020,
1.0,ACDP,KPF,One Vanderbilt,BUILDING,Completed,Urban Data Analytics,Analytics & Visualization,Decision Making,USA,North America,2020,
1.0,ACDP,KPF,One Vanderbilt,BUILDING,Completed,Real-Time Evaluation,Analytics & Visualization,Decision Making,USA,North America,2020,
1.0,ACDP,KPF,One Vanderbilt,BUILDING,Completed,Simulation & Visualization,Analytics & Visualization,Decision Making,USA,North America,2020,
1.0,ACDP,KPF,One Vanderbilt,BUILDING,Completed,Data Interpretation,Analytics & Visualization,Decision Making,USA,North America,2020,
1.0,ACDP,KPF,One Vanderbilt,BUILDING,Completed,User Interface,Analytics & Visualization,Decision Making,USA,North America,2020,
1.0,ACDP,KPF,One Vanderbilt,BUILDING,Completed,Dashboard,Analytics & Visualization,Decision Making,USA,North America,2020,
2.0,ACDP,KPF,West Lake 66,BUILDING,Ongoing,Parametric Design,Analytics & Visualization,Decision Making,China,Asia,2024,
2.0,ACDP,KPF,West Lake 66,BUILDING,Ongoing,Parametric Optimization,Analytics & Visualization,Decision Making,China,Asia,2024,
2.0,ACDP,KPF,West Lake 66,BUILDING,Ongoing,Building Information Modeling,Analytics & Visualization,Decision Making,China,Asia,2024,
3.0,ACDP,KPF,Ideal Block Master Plan,RESEARCH,Completed,Typology Analysis,Analytics & Visualization,Decision Making,London,Europe,,
3.0,ACDP,KPF,Ideal Block Master Plan,RESEARCH,Completed,Performance Optimization,Analytics & Visualization,Decision Making,London,Europe,,
3.0,ACDP,KPF,Ideal Block Master Plan,RESEARCH,Completed,parametric design,Analytics & Visualization,Decision Making,London,Europe,,
3.0,ACDP,KPF,Ideal Block Master Plan,RESEARCH,Completed,generative design,Analytics & Visualization,Decision Making,London,Europe,,
3.0,ACDP,KPF,Ideal Block Master Plan,RESEARCH,Completed,Geometry Generation,Analytics & Visualization,Decision Making,London,Europe,,
4.0,ACDP,KPF,Shanghai Crystal Plaza,RESEARCH,Completed,Data Analytics,Analytics & Visualization,Decision Making,China,Asia,,
4.0,ACDP,KPF,Shanghai Crystal Plaza,RESEARCH,Completed,Generative Design,Analytics & Visualization,Decision Making,China,Asia,,
5.0,ACDP,KPF,Scout,PRODUCT,Completed,Building Information Modeling,Analytics & Visualization,Decision Making,Mexico,North America,2020,
5.0,ACDP,KPF,Scout,PRODUCT,Completed,Generative Design,Analytics & Visualization,Decision Making,Mexico,North America,2020,
5.0,ACDP,KPF,Scout,PRODUCT,Completed,Urban Data Analytics,Analytics & Visualization,Decision Making,Mexico,North America,2020,
5.0,ACDP,KPF,Scout,PRODUCT,Completed,Real-Time Evaluation,Analytics & Visualization,Decision Making,Mexico,North America,2020,
5.0,ACDP,KPF,Scout,PRODUCT,Completed,Simulation & Visualization,Analytics & Visualization,Decision Making,Mexico,North America,2020,
5.0,ACDP,KPF,Scout,PRODUCT,Completed,Platform Data interpretration,Analytics & Visualization,Decision Making,Mexico,North America,2020,
5.0,ACDP,KPF,Scout,PRODUCT,Completed,User Interface,Analytics & Visualization,Decision Making,Mexico,North America,2020,
5.0,ACDP,KPF,Scout,PRODUCT,Completed,Dashboard,Analytics & Visualization,Decision Making,Mexico,North America,2020,
6.0,ACDP,Sasaki,Carbon Science App,PRODUCT,Completed,Dashboard,Analytics & Visualization,Decision Making,USA,North America,2021,
6.0,ACDP,Sasaki,Carbon Science App,PRODUCT,Completed,Integrated Tools,Analytics & Visualization,Decision Making,USA,North America,2021,
6.0,ACDP,Sasaki,Carbon Science App,PRODUCT,Completed,Data Visualisation,Analytics & Visualization,Decision Making,USA,North America,2021,
6.0,ACDP,Sasaki,Carbon Science App,PRODUCT,Completed,Data Analytics,Analytics & Visualization,Decision Making,USA,North America,2021,
7.0,ACDP,Sasaki,Technical Resource Group,INITIATIVE,Ongoing,AI,Analytics & Visualization,Revenue & Cost Optimisation,USA,North America,ongoing,2017
7.0,ACDP,Sasaki,Technical Resource Group,INITIATIVE,Ongoing,Data Science,Analytics & Visualization,Revenue & Cost Optimisation,USA,North America,ongoing,2017
7.0,ACDP,Sasaki,Technical Resource Group,INITIATIVE,Ongoing,Software Tech,Analytics & Visualization,Revenue & Cost Optimisation,USA,North America,ongoing,2017
7.0,ACDP,Sasaki,Technical Resource Group,INITIATIVE,Ongoing,Digital Connectivity Tech,Analytics & Visualization,Revenue & Cost Optimisation,USA,North America,ongoing,2017
8.0,ACDP,Sasaki,Salud Digna Dashboard,PRODUCT,Ongoing,Data Analytics,Analytics & Visualization,Decision Making,Mexico,North America,ongoing,
8.0,ACDP,Sasaki,Salud Digna Dashboard,PRODUCT,Ongoing,Software Tech,Analytics & Visualization,Decision Making,Mexico,North America,ongoing,
9.0,ACDP,Sasaki,University of Colorado Boulder Master Plan,URBAN DESIGN,Completed,Data Visualisation,Analytics & Visualization,Decision Making,USA,North America,2021,
9.0,ACDP,Sasaki,University of Colorado Boulder Master Plan,URBAN DESIGN,Completed,Software Tech,Analytics & Visualization,Decision Making,USA,North America,2021,
9.0,ACDP,Sasaki,University of Colorado Boulder Master Plan,URBAN DESIGN,Completed,3D model visualisation,Analytics & Visualization,Decision Making,USA,North America,2021,
10.0,ACDP,Sasaki,Density Atlas,PRODUCT,Completed,Data Analytics,Analytics & Visualization,Decision Making,USA,North America,2021,
10.0,ACDP,Sasaki,Density Atlas,PRODUCT,Completed,Generative Design,Analytics & Visualization,Decision Making,USA,North America,2021,
11.0,ACDP,Sasaki,get[t]here,INITIATIVE,Completed,Data Science,Analytics & Visualization,Sustainability,USA,North America,2021,
11.0,ACDP,Sasaki,get[t]here,INITIATIVE,Completed,Software Tech,Analytics & Visualization,Sustainability,USA,North America,2021,
